IDENTIFIER,Entrez Gene,,,,,,,,,,,,,,,,,,,,,
COPS8,10920,,,,,,,,,,,,,,,,,,,,,
ADH6,130,,,,,,,,,,,,,,,,,,,,,
MIR6875,7205,,,,,,,,,,,,,,,,,,,,,
POLR2C,5432,,,,,,,,,,,,,,,,,,,,,
EFCAB11,90141,,,,,,,,,,,,,,,,,,,,,
ITGA8,8516,,,,,,,,,,,,,,,,,,,,,
PDLIM7,9260,,,,,,,,,,,,,,,,,,,,,
CADM4,199731,,,,,,,,,,,,,,,,,,,,,
MTMR4,9110,,,,,,,,,,,,,,,,,,,,,
MFSD7,84179,,,,,,,,,,,,,,,,,,,,,
MAPRE3,22924,,,,,,,,,,,,,,,,,,,,,
RPL12,6136,,,,,,,,,,,,,,,,,,,,,
CYLD,1540,,,,,,,,,,,,,,,,,,,,,
NPRL3,8131,,,,,,,,,,,,,,,,,,,,,
ACAA1,30,,,,,,,,,,,,,,,,,,,,,
MED12,9968,,,,,,,,,,,,,,,,,,,,,
KLF12,11278,,,,,,,,,,,,,,,,,,,,,
COX11,1353,,,,,,,,,,,,,,,,,,,,,
NDRG2,57447,,,,,,,,,,,,,,,,,,,,,
NDRG2,57447,,,,,,,,,,,,,,,,,,,,,
HNRNPA1,3178,,,,,,,,,,,,,,,,,,,,,
RCHY1,25898,,,,,,,,,,,,,,,,,,,,,
214282_at,---,,,,,,,,,,,,,,,,,,,,,
TMEM97,27346,,,,,,,,,,,,,,,,,,,,,
FGF18,8817,,,,,,,,,,,,,,,,,,,,,
FABP3,2170,,,,,,,,,,,,,,,,,,,,,
GNAT1,2779,,,,,,,,,,,,,,,,,,,,,
CDK13,8621,,,,,,,,,,,,,,,,,,,,,
PSMB1,5689,,,,,,,,,,,,,,,,,,,,,
PSMB1,5689,,,,,,,,,,,,,,,,,,,,,
HIST2H2AA4,8337,723790,,,,,,,,,,,,,,,,,,,,
RPL17-C18orf32,6139,26790,26791,100124516,100526842,,,,,,,,,,,,,,,,,
ITGB4,3691,,,,,,,,,,,,,,,,,,,,,
11-Sep,55752,,,,,,,,,,,,,,,,,,,,,
KIAA0485,57235,,,,,,,,,,,,,,,,,,,,,
KIAA0485,57235,,,,,,,,,,,,,,,,,,,,,
IZUMO4,113177,,,,,,,,,,,,,,,,,,,,,
CSPG4,1464,,,,,,,,,,,,,,,,,,,,,
6-Sep,23157,,,,,,,,,,,,,,,,,,,,,
TOP3A,7156,,,,,,,,,,,,,,,,,,,,,
TOP3A,7156,,,,,,,,,,,,,,,,,,,,,
DPYSL4,10570,,,,,,,,,,,,,,,,,,,,,
GJC2,57165,,,,,,,,,,,,,,,,,,,,,
MUC5AC,4586,,,,,,,,,,,,,,,,,,,,,
214304_x_at,---,,,,,,,,,,,,,,,,,,,,,
SF3B1,23451,,,,,,,,,,,,,,,,,,,,,
OPA1,4976,,,,,,,,,,,,,,,,,,,,,
HGD,3081,,,,,,,,,,,,,,,,,,,,,
HGD,3081,,,,,,,,,,,,,,,,,,,,,
AI435747,---,,,,,,,,,,,,,,,,,,,,,
ZFPL1,7542,,,,,,,,,,,,,,,,,,,,,
ZFPL1,7542,,,,,,,,,,,,,,,,,,,,,
FOXA2,3170,,,,,,,,,,,,,,,,,,,,,
EIF5B,9669,,,,,,,,,,,,,,,,,,,,,
EIF5B,9669,,,,,,,,,,,,,,,,,,,,,
CALR,811,,,,,,,,,,,,,,,,,,,,,
214316_x_at,---,,,,,,,,,,,,,,,,,,,,,
RPS9,6203,,,,,,,,,,,,,,,,,,,,,
FRY,10129,,,,,,,,,,,,,,,,,,,,,
FRY,10129,,,,,,,,,,,,,,,,,,,,,
CYP2A6,1548,,,,,,,,,,,,,,,,,,,,,
NOV,4856,,,,,,,,,,,,,,,,,,,,,
CAMK2G,818,,,,,,,,,,,,,,,,,,,,,
UPF3A,65110,,,,,,,,,,,,,,,,,,,,,
GP2,2813,,,,,,,,,,,,,,,,,,,,,
GP2,2813,,,,,,,,,,,,,,,,,,,,,
JUND,3727,,,,,,,,,,,,,,,,,,,,,
LOC101928826,7178,,,,,,,,,,,,,,,,,,,,,
HSP90AA1,3320,,,,,,,,,,,,,,,,,,,,,
TNFSF10,8743,,,,,,,,,,,,,,,,,,,,,
ATPAF2,91647,,,,,,,,,,,,,,,,,,,,,
TSFM,10102,,,,,,,,,,,,,,,,,,,,,
TSFM,10102,,,,,,,,,,,,,,,,,,,,,
IDH3G,3421,,,,,,,,,,,,,,,,,,,,,
DAZAP2,9802,,,,,,,,,,,,,,,,,,,,,
RPL18,6141,,,,,,,,,,,,,,,,,,,,,
COPA,1314,,,,,,,,,,,,,,,,,,,,,
COPA,1314,,,,,,,,,,,,,,,,,,,,,
DNAJB12,54788,,,,,,,,,,,,,,,,,,,,,
MAP4K1,11184,,,,,,,,,,,,,,,,,,,,,
ALOX12P2,245,,,,,,,,,,,,,,,,,,,,,
AP1G2,8906,,,,,,,,,,,,,,,,,,,,,
ATXN7L1,222255,,,,,,,,,,,,,,,,,,,,,
ATXN7L1,222255,,,,,,,,,,,,,,,,,,,,,
LINC00950,92973,,,,,,,,,,,,,,,,,,,,,
214345_at,---,,,,,,,,,,,,,,,,,,,,,
C1QL1,10882,,,,,,,,,,,,,,,,,,,,,
DDC,1644,,,,,,,,,,,,,,,,,,,,,
TACR2,6865,,,,,,,,,,,,,,,,,,,,,
AV764378,---,,,,,,,,,,,,,,,,,,,,,
SNTB2,6645,,,,,,,,,,,,,,,,,,,,,
SNORD68,6137,606500,,,,,,,,,,,,,,,,,,,,
KRAS,3845,,,,,,,,,,,,,,,,,,,,,
214353_at,---,,,,,,,,,,,,,,,,,,,,,
SFTPB,6439,,,,,,,,,,,,,,,,,,,,,
CTAGE8,340307,441294,643854,100128553,100142659,101060696,,,,,,,,,,,,,,,,
KIAA0368,23392,,,,,,,,,,,,,,,,,,,,,
C1orf105,92346,,,,,,,,,,,,,,,,,,,,,
ACACA,31,,,,,,,,,,,,,,,,,,,,,
HSP90AB1,3326,,,,,,,,,,,,,,,,,,,,,
SMARCA4,6597,,,,,,,,,,,,,,,,,,,,,
RGS12,6002,,,,,,,,,,,,,,,,,,,,,
RGS12,6002,,,,,,,,,,,,,,,,,,,,,
SNHG4,9782,724102,,,,,,,,,,,,,,,,,,,,
MTERF4,130916,,,,,,,,,,,,,,,,,,,,,
TPM3,7170,,,,,,,,,,,,,,,,,,,,,
ALOX5,240,,,,,,,,,,,,,,,,,,,,,
RASGRP2,10235,,,,,,,,,,,,,,,,,,,,,
RASGRP2,10235,,,,,,,,,,,,,,,,,,,,,
RASGRP2,10235,,,,,,,,,,,,,,,,,,,,,
S100A8,6279,,,,,,,,,,,,,,,,,,,,,
TSSK2,23617,,,,,,,,,,,,,,,,,,,,,
ERN2,10595,,,,,,,,,,,,,,,,,,,,,
AI582773,---,,,,,,,,,,,,,,,,,,,,,
PPFIBP1,8496,,,,,,,,,,,,,,,,,,,,,
PPFIBP1,8496,,,,,,,,,,,,,,,,,,,,,
MAPK10,---,,,,,,,,,,,,,,,,,,,,,
CTRL,1506,,,,,,,,,,,,,,,,,,,,,
TFPI,7035,,,,,,,,,,,,,,,,,,,,,
HNRNPDL,9987,,,,,,,,,,,,,,,,,,,,,
PRPF31,26121,,,,,,,,,,,,,,,,,,,,,
LOC441601,441601,,,,,,,,,,,,,,,,,,,,,
UNC93A,54346,,,,,,,,,,,,,,,,,,,,,
KLHDC3,116138,,,,,,,,,,,,,,,,,,,,,
DCTN2,10540,,,,,,,,,,,,,,,,,,,,,
MUC5AC,4586,101059911,,,,,,,,,,,,,,,,,,,,
214386_at,---,,,,,,,,,,,,,,,,,,,,,
SFTPC,6440,,,,,,,,,,,,,,,,,,,,,
214388_at,---,,,,,,,,,,,,,,,,,,,,,
SLC5A12,159963,,,,,,,,,,,,,,,,,,,,,
BCAT1,586,,,,,,,,,,,,,,,,,,,,,
PTGER1,5731,,,,,,,,,,,,,,,,,,,,,
IRGC,56269,,,,,,,,,,,,,,,,,,,,,
RND2,8153,,,,,,,,,,,,,,,,,,,,,
EEF1D,1936,,,,,,,,,,,,,,,,,,,,,
EEF1D,1936,,,,,,,,,,,,,,,,,,,,,
MBD2,8932,,,,,,,,,,,,,,,,,,,,,
MBD2,8932,,,,,,,,,,,,,,,,,,,,,
IKBKE,9641,,,,,,,,,,,,,,,,,,,,,
KRT4,3851,,,,,,,,,,,,,,,,,,,,,
INSL3,3640,,,,,,,,,,,,,,,,,,,,,
PAX1,5075,,,,,,,,,,,,,,,,,,,,,
SFI1,9814,,,,,,,,,,,,,,,,,,,,,
SPDEF,25803,,,,,,,,,,,,,,,,,,,,,
SPDEF,25803,,,,,,,,,,,,,,,,,,,,,
Z39557,---,,,,,,,,,,,,,,,,,,,,,
SLC7A4,6545,,,,,,,,,,,,,,,,,,,,,
GYPB,2994,,,,,,,,,,,,,,,,,,,,,
RFPL1S,10737,10740,,,,,,,,,,,,,,,,,,,,
RFPL3S,10737,,,,,,,,,,,,,,,,,,,,,
TRPM1,---,,,,,,,,,,,,,,,,,,,,,
CTRB2,440387,,,,,,,,,,,,,,,,,,,,,
H2AFB1,83740,474381,474382,,,,,,,,,,,,,,,,,,,
TAT,6898,,,,,,,,,,,,,,,,,,,,,
HBA2,3039,3040,,,,,,,,,,,,,,,,,,,,
PLGLB1,5342,5343,285189,,,,,,,,,,,,,,,,,,,
214416_at,---,,,,,,,,,,,,,,,,,,,,,
FETUB,26998,,,,,,,,,,,,,,,,,,,,,
CT62,196993,,,,,,,,,,,,,,,,,,,,,
CYP2C9,1559,,,,,,,,,,,,,,,,,,,,,
CYP2C9,1559,,,,,,,,,,,,,,,,,,,,,
CYP2C9,1559,,,,,,,,,,,,,,,,,,,,,
RAD23B,5887,,,,,,,,,,,,,,,,,,,,,
ALDOB,229,,,,,,,,,,,,,,,,,,,,,
ALDOB,229,,,,,,,,,,,,,,,,,,,,,
AMBP,259,,,,,,,,,,,,,,,,,,,,,
CHAF1A,10036,,,,,,,,,,,,,,,,,,,,,
NOP2,4839,,,,,,,,,,,,,,,,,,,,,
C4B_2,720,721,100293534,,,,,,,,,,,,,,,,,,,
MTMR6,9107,,,,,,,,,,,,,,,,,,,,,
GLA,2717,,,,,,,,,,,,,,,,,,,,,
GMPS,8833,,,,,,,,,,,,,,,,,,,,,
LOC101927137,478,,,,,,,,,,,,,,,,,,,,,
SELENBP1,8991,,,,,,,,,,,,,,,,,,,,,
HSPA12A,259217,,,,,,,,,,,,,,,,,,,,,
RALA,5898,,,,,,,,,,,,,,,,,,,,,
FBXL2,25827,,,,,,,,,,,,,,,,,,,,,
SHMT2,6472,,,,,,,,,,,,,,,,,,,,,
HLX,3142,,,,,,,,,,,,,,,,,,,,,
BIN1,274,,,,,,,,,,,,,,,,,,,,,
NAT1,9,,,,,,,,,,,,,,,,,,,,,
STX6,10228,,,,,,,,,,,,,,,,,,,,,
PIAS2,9063,,,,,,,,,,,,,,,,,,,,,
PVR,5817,,,,,,,,,,,,,,,,,,,,,
PVR,5817,,,,,,,,,,,,,,,,,,,,,
ELL2,22936,,,,,,,,,,,,,,,,,,,,,
ELL2,22936,,,,,,,,,,,,,,,,,,,,,
ETS1,2113,,,,,,,,,,,,,,,,,,,,,
NFKBIB,4793,,,,,,,,,,,,,,,,,,,,,
RHOQ,23433,,,,,,,,,,,,,,,,,,,,,
CTSW,1521,,,,,,,,,,,,,,,,,,,,,
TFAP2B,7021,,,,,,,,,,,,,,,,,,,,,
BCAT1,586,,,,,,,,,,,,,,,,,,,,,
IFI44,10561,,,,,,,,,,,,,,,,,,,,,
ADAMTS2,9509,,,,,,,,,,,,,,,,,,,,,
HIST1H2BC,8339,8343,8344,8346,8347,,,,,,,,,,,,,,,,,
SAA2,6288,6289,,,,,,,,,,,,,,,,,,,,
HOXA2,3199,,,,,,,,,,,,,,,,,,,,,
TRAF3IP1,26146,,,,,,,,,,,,,,,,,,,,,
HLA-C,3107,,,,,,,,,,,,,,,,,,,,,
LSAMP,4045,,,,,,,,,,,,,,,,,,,,,
LBP,3929,,,,,,,,,,,,,,,,,,,,,
SOCS6,9306,,,,,,,,,,,,,,,,,,,,,
HIST1H4J,8363,,,,,,,,,,,,,,,,,,,,,
CDC42BPA,8476,,,,,,,,,,,,,,,,,,,,,
ORM2,5004,5005,,,,,,,,,,,,,,,,,,,,
GJA5,2702,101060613,,,,,,,,,,,,,,,,,,,,
GPR65,8477,,,,,,,,,,,,,,,,,,,,,
MYH6,4624,,,,,,,,,,,,,,,,,,,,,
HIST1H2AE,3012,8335,,,,,,,,,,,,,,,,,,,,
KLRB1,3820,,,,,,,,,,,,,,,,,,,,,
CGB1,3972,,,,,,,,,,,,,,,,,,,,,
HIST1H3F,3013,8350,8351,8352,8353,8354,8355,8356,8357,8358,8968,,,,,,,,,,,
PMS2P3,5387,,,,,,,,,,,,,,,,,,,,,
PRKAB2,5565,101060511,,,,,,,,,,,,,,,,,,,,
CAPN3,825,,,,,,,,,,,,,,,,,,,,,
TFF2,7032,,,,,,,,,,,,,,,,,,,,,
MLLT1,4298,,,,,,,,,,,,,,,,,,,,,
SPP2,6694,,,,,,,,,,,,,,,,,,,,,
GFRA3,2676,,,,,,,,,,,,,,,,,,,,,
ETV3,2117,,,,,,,,,,,,,,,,,,,,,
HIST1H2AM,8336,,,,,,,,,,,,,,,,,,,,,
ZBTB25,7597,,,,,,,,,,,,,,,,,,,,,
ARFIP1,27236,,,,,,,,,,,,,,,,,,,,,
SIGMAR1,10280,,,,,,,,,,,,,,,,,,,,,
ODF1,4956,,,,,,,,,,,,,,,,,,,,,
CFLAR,8837,,,,,,,,,,,,,,,,,,,,,
RAP2B,5911,5912,,,,,,,,,,,,,,,,,,,,
RAP2B,5912,,,,,,,,,,,,,,,,,,,,,
FSHB,2488,,,,,,,,,,,,,,,,,,,,,
ARSF,416,,,,,,,,,,,,,,,,,,,,,
SSTR3,6753,,,,,,,,,,,,,,,,,,,,,
SGCD,6444,,,,,,,,,,,,,,,,,,,,,
PATJ,10207,,,,,,,,,,,,,,,,,,,,,
LOC101930112,6687,,,,,,,,,,,,,,,,,,,,,
CACNG2,10369,,,,,,,,,,,,,,,,,,,,,
KAT6B,23522,,,,,,,,,,,,,,,,,,,,,
NHLH2,4808,,,,,,,,,,,,,,,,,,,,,
ASIP,434,,,,,,,,,,,,,,,,,,,,,
BCLAF1,9774,,,,,,,,,,,,,,,,,,,,,
H2AFY,9555,,,,,,,,,,,,,,,,,,,,,
H2AFY,9555,,,,,,,,,,,,,,,,,,,,,
HIST1H2BJ,8970,,,,,,,,,,,,,,,,,,,,,
GPR135,64582,,,,,,,,,,,,,,,,,,,,,
ABO,28,,,,,,,,,,,,,,,,,,,,,
FHL1,2273,,,,,,,,,,,,,,,,,,,,,
GPR182,11318,,,,,,,,,,,,,,,,,,,,,
EXOSC2,23404,,,,,,,,,,,,,,,,,,,,,
CREM,1390,,,,,,,,,,,,,,,,,,,,,
HIST1H3I,8350,8351,8352,8353,8354,8355,8356,8357,8358,8968,,,,,,,,,,,,
GPR20,2843,,,,,,,,,,,,,,,,,,,,,
FCGR1B,2210,,,,,,,,,,,,,,,,,,,,,
SUB1,10923,,,,,,,,,,,,,,,,,,,,,
CREB1,1385,,,,,,,,,,,,,,,,,,,,,
MCM3AP,8888,,,,,,,,,,,,,,,,,,,,,
OR1E1,8387,,,,,,,,,,,,,,,,,,,,,
HIST2H4B,8294,8359,8360,8361,8362,8363,8364,8365,8366,8367,8368,8370,121504,554313,,,,,,,,
KRTAP5-9,3846,,,,,,,,,,,,,,,,,,,,,
PDHA2,5161,,,,,,,,,,,,,,,,,,,,,
RLN2,6019,,,,,,,,,,,,,,,,,,,,,
FOXC2,2303,,,,,,,,,,,,,,,,,,,,,
HES2,54626,,,,,,,,,,,,,,,,,,,,,
HIST1H3D,3013,8350,8351,8352,8353,8354,8355,8356,8357,8358,8968,,,,,,,,,,,
CEBPE,1053,,,,,,,,,,,,,,,,,,,,,
GHRH,2691,,,,,,,,,,,,,,,,,,,,,
MLH3,27030,,,,,,,,,,,,,,,,,,,,,
PMS2P1,5379,,,,,,,,,,,,,,,,,,,,,
PQBP1,10084,,,,,,,,,,,,,,,,,,,,,
PAX8,7849,,,,,,,,,,,,,,,,,,,,,
TSHB,7252,,,,,,,,,,,,,,,,,,,,,
EPB41,2035,,,,,,,,,,,,,,,,,,,,,
SNX1,6642,,,,,,,,,,,,,,,,,,,,,
POU5F1B,5462,,,,,,,,,,,,,,,,,,,,,
CMA1,1215,,,,,,,,,,,,,,,,,,,,,
HIST1H1B,3009,,,,,,,,,,,,,,,,,,,,,
ADAMTS2,9509,,,,,,,,,,,,,,,,,,,,,
SLURP1,57152,,,,,,,,,,,,,,,,,,,,,
HIST1H1D,3007,,,,,,,,,,,,,,,,,,,,,
RGS6,9628,,,,,,,,,,,,,,,,,,,,,
SERPINB10,5273,,,,,,,,,,,,,,,,,,,,,
HIST1H2BO,8348,,,,,,,,,,,,,,,,,,,,,
QKI,9444,,,,,,,,,,,,,,,,,,,,,
HIST1H2AH,8968,,,,,,,,,,,,,,,,,,,,,
QKI,9444,,,,,,,,,,,,,,,,,,,,,
SNAP23,8773,,,,,,,,,,,,,,,,,,,,,
PROSC,11212,,,,,,,,,,,,,,,,,,,,,
PPAN-P2RY11,5032,692312,,,,,,,,,,,,,,,,,,,,
ADCY10,55811,,,,,,,,,,,,,,,,,,,,,
GNAS,2778,,,,,,,,,,,,,,,,,,,,,
SPRR1A,6698,,,,,,,,,,,,,,,,,,,,,
TNPO3,23534,,,,,,,,,,,,,,,,,,,,,
CD7,924,,,,,,,,,,,,,,,,,,,,,
RABEP1,9135,,,,,,,,,,,,,,,,,,,,,
ARPP19,10776,,,,,,,,,,,,,,,,,,,,,
HIST1H2AL,8329,8330,8332,8336,8969,85235,,,,,,,,,,,,,,,,
SSTR5,6755,,,,,,,,,,,,,,,,,,,,,
SSTR4,6754,,,,,,,,,,,,,,,,,,,,,
PTTG2,10744,,,,,,,,,,,,,,,,,,,,,
GPR12,2835,,,,,,,,,,,,,,,,,,,,,
DRD3,1814,,,,,,,,,,,,,,,,,,,,,
FPR3,2359,,,,,,,,,,,,,,,,,,,,,
LILRP2,79166,,,,,,,,,,,,,,,,,,,,,
HIST1H4L,8294,8359,8360,8361,8362,8363,8364,8365,8366,8367,8368,8370,121504,554313,,,,,,,,
PCDHGC3,5098,,,,,,,,,,,,,,,,,,,,,
PCDHGC3,5098,,,,,,,,,,,,,,,,,,,,,
SMR3A,10879,26952,,,,,,,,,,,,,,,,,,,,
SMR3A,26952,,,,,,,,,,,,,,,,,,,,,
XCL2,6375,6846,,,,,,,,,,,,,,,,,,,,
TPSD1,23430,,,,,,,,,,,,,,,,,,,,,
IFNA5,3442,,,,,,,,,,,,,,,,,,,,,
LOC102725315,25812,29774,29797,266697,646074,727983,100996817,101060466,,,,,,,,,,,,,,
FGF3,2248,,,,,,,,,,,,,,,,,,,,,
INSL3,3640,,,,,,,,,,,,,,,,,,,,,
LST1,7940,,,,,,,,,,,,,,,,,,,,,
AZU1,566,,,,,,,,,,,,,,,,,,,,,
KRT36,8689,,,,,,,,,,,,,,,,,,,,,
MAP1B,4131,,,,,,,,,,,,,,,,,,,,,
ROCK1,6093,,,,,,,,,,,,,,,,,,,,,
NIPAL3,57185,,,,,,,,,,,,,,,,,,,,,
KRT6C,3853,3854,286887,,,,,,,,,,,,,,,,,,,
TNFRSF21,27242,,,,,,,,,,,,,,,,,,,,,
PDE3B,5140,,,,,,,,,,,,,,,,,,,,,
DDI2,6248,84301,,,,,,,,,,,,,,,,,,,,
ACACB,32,,,,,,,,,,,,,,,,,,,,,
VPS52,6293,,,,,,,,,,,,,,,,,,,,,
GPR37,2861,,,,,,,,,,,,,,,,,,,,,
COL8A1,1295,,,,,,,,,,,,,,,,,,,,,
MFAP3,4238,,,,,,,,,,,,,,,,,,,,,
FGF12,2257,,,,,,,,,,,,,,,,,,,,,
UBE2D1,7321,,,,,,,,,,,,,,,,,,,,,
KLHL4,56062,,,,,,,,,,,,,,,,,,,,,
SNAPC5,10302,,,,,,,,,,,,,,,,,,,,,
PIAS2,9063,,,,,,,,,,,,,,,,,,,,,
ATP8B1,5205,,,,,,,,,,,,,,,,,,,,,
KCNG1,3755,,,,,,,,,,,,,,,,,,,,,
CHRM3,1131,,,,,,,,,,,,,,,,,,,,,
SSTR2,6752,,,,,,,,,,,,,,,,,,,,,
CLDN8,9073,,,,,,,,,,,,,,,,,,,,,
IVL,3713,,,,,,,,,,,,,,,,,,,,,
TEAD1,7003,,,,,,,,,,,,,,,,,,,,,
TPH1,7166,,,,,,,,,,,,,,,,,,,,,
COL4A4,1286,,,,,,,,,,,,,,,,,,,,,
MAGEA2B,4101,266740,,,,,,,,,,,,,,,,,,,,
HOXD11,3237,,,,,,,,,,,,,,,,,,,,,
GPR1,2825,,,,,,,,,,,,,,,,,,,,,
TSPAN2,10100,,,,,,,,,,,,,,,,,,,,,
PAK3,5063,,,,,,,,,,,,,,,,,,,,,
EYA1,2138,,,,,,,,,,,,,,,,,,,,,
PHOX2A,401,,,,,,,,,,,,,,,,,,,,,
CYP11B1,1584,,,,,,,,,,,,,,,,,,,,,
GRIK1,2897,,,,,,,,,,,,,,,,,,,,,
MAGEA6,4105,,,,,,,,,,,,,,,,,,,,,
GPR3,2827,,,,,,,,,,,,,,,,,,,,,
MNX1,3110,,,,,,,,,,,,,,,,,,,,,
P2RY10,27334,,,,,,,,,,,,,,,,,,,,,
HIST1H3E,8350,8351,8352,8353,8354,8355,8356,8357,8358,8968,,,,,,,,,,,,
PRF1,5551,,,,,,,,,,,,,,,,,,,,,
CFLAR,8837,,,,,,,,,,,,,,,,,,,,,
CRHR1,1394,,,,,,,,,,,,,,,,,,,,,
PAM,5066,,,,,,,,,,,,,,,,,,,,,
GYS2,2998,,,,,,,,,,,,,,,,,,,,,
CYP21A1P,1589,,,,,,,,,,,,,,,,,,,,,
FBXW4P1,26226,,,,,,,,,,,,,,,,,,,,,
UPK1A,11045,,,,,,,,,,,,,,,,,,,,,
MINK1,50488,,,,,,,,,,,,,,,,,,,,,
GANAB,23193,,,,,,,,,,,,,,,,,,,,,
EPX,8288,,,,,,,,,,,,,,,,,,,,,
NHLH1,4807,,,,,,,,,,,,,,,,,,,,,
RTN4,57142,,,,,,,,,,,,,,,,,,,,,
CYP11B2,1585,,,,,,,,,,,,,,,,,,,,,
ZBTB33,10009,,,,,,,,,,,,,,,,,,,,,
NRP2,8828,,,,,,,,,,,,,,,,,,,,,
SOX3,6658,,,,,,,,,,,,,,,,,,,,,
HIST1H4I,8294,8359,8360,8361,8362,8363,8364,8365,8366,8367,8368,8370,121504,554313,,,,,,,,
CLDN9,9080,,,,,,,,,,,,,,,,,,,,,
CALCB,797,,,,,,,,,,,,,,,,,,,,,
OSM,5008,,,,,,,,,,,,,,,,,,,,,
CCNT2,905,,,,,,,,,,,,,,,,,,,,,
HOXA1,3198,,,,,,,,,,,,,,,,,,,,,
UNC93A,54346,,,,,,,,,,,,,,,,,,,,,
COL4A3,1285,,,,,,,,,,,,,,,,,,,,,
MAGEA10-MAGEA5,4104,100533997,,,,,,,,,,,,,,,,,,,,
BIN1,274,,,,,,,,,,,,,,,,,,,,,
HIST1H2AK,8330,,,,,,,,,,,,,,,,,,,,,
AK025116,---,,,,,,,,,,,,,,,,,,,,,
HIST1H3F,8350,8351,8352,8353,8354,8355,8356,8357,8358,8968,,,,,,,,,,,,
HFE,3077,,,,,,,,,,,,,,,,,,,,,
GPX5,2880,,,,,,,,,,,,,,,,,,,,,
MTMR2,8898,,,,,,,,,,,,,,,,,,,,,
MOG,4340,,,,,,,,,,,,,,,,,,,,,
HOXA10-HOXA9,3205,442920,100534589,,,,,,,,,,,,,,,,,,,
DRD1,1812,,,,,,,,,,,,,,,,,,,,,
GPR6,2830,,,,,,,,,,,,,,,,,,,,,
MYO1C,4641,,,,,,,,,,,,,,,,,,,,,
MIR612,283131,693197,,,,,,,,,,,,,,,,,,,,
TMED7-TICAM2,51014,100302736,,,,,,,,,,,,,,,,,,,,
YLPM1,56252,,,,,,,,,,,,,,,,,,,,,
ITGA1,3672,,,,,,,,,,,,,,,,,,,,,
NOP14,8602,,,,,,,,,,,,,,,,,,,,,
WDR43,23160,,,,,,,,,,,,,,,,,,,,,
DSTYK,25778,,,,,,,,,,,,,,,,,,,,,
PAICS,10606,,,,,,,,,,,,,,,,,,,,,
CHP1,11261,,,,,,,,,,,,,,,,,,,,,
IREB2,3658,,,,,,,,,,,,,,,,,,,,,
TP53I11,9537,,,,,,,,,,,,,,,,,,,,,
SPRYD7,57213,,,,,,,,,,,,,,,,,,,,,
IGKC,3514,,,,,,,,,,,,,,,,,,,,,
ZKSCAN1,7586,,,,,,,,,,,,,,,,,,,,,
ABR,29,,,,,,,,,,,,,,,,,,,,,
TTLL5,23093,,,,,,,,,,,,,,,,,,,,,
HUWE1,10075,,,,,,,,,,,,,,,,,,,,,
USP19,10869,,,,,,,,,,,,,,,,,,,,,
NUP188,23511,,,,,,,,,,,,,,,,,,,,,
MUC3B,4584,57876,,,,,,,,,,,,,,,,,,,,
IGLC1,3537,,,,,,,,,,,,,,,,,,,,,
ZFX,7543,,,,,,,,,,,,,,,,,,,,,
GNA11,2767,,,,,,,,,,,,,,,,,,,,,
NTRK2,4915,,,,,,,,,,,,,,,,,,,,,
GK,2710,,,,,,,,,,,,,,,,,,,,,
PKD1P1,339044,,,,,,,,,,,,,,,,,,,,,
CLK1,1195,,,,,,,,,,,,,,,,,,,,,
MEF2A,4205,,,,,,,,,,,,,,,,,,,,,
NOP14-AS1,317648,,,,,,,,,,,,,,,,,,,,,
ZNF266,10781,,,,,,,,,,,,,,,,,,,,,
ALDOA,226,,,,,,,,,,,,,,,,,,,,,
TLE4,7091,,,,,,,,,,,,,,,,,,,,,
PAPPA2,60676,,,,,,,,,,,,,,,,,,,,,
TAF1B,9014,,,,,,,,,,,,,,,,,,,,,
FAM63B,54629,,,,,,,,,,,,,,,,,,,,,
JRK,8629,,,,,,,,,,,,,,,,,,,,,
NBPF26,149013,400818,100132406,101059961,101060202,101060362,101060684,,,,,,,,,,,,,,,
MPRIP,23164,,,,,,,,,,,,,,,,,,,,,
UBAP2L,9898,,,,,,,,,,,,,,,,,,,,,
MIR22,84981,407004,,,,,,,,,,,,,,,,,,,,
PTBP3,9991,,,,,,,,,,,,,,,,,,,,,
PTBP3,9991,,,,,,,,,,,,,,,,,,,,,
WIPI2,26100,,,,,,,,,,,,,,,,,,,,,
RIF1,55183,,,,,,,,,,,,,,,,,,,,,
FN1,2335,,,,,,,,,,,,,,,,,,,,,
FN1,2335,,,,,,,,,,,,,,,,,,,,,
MAN2B2,23324,,,,,,,,,,,,,,,,,,,,,
TCF25,22980,,,,,,,,,,,,,,,,,,,,,
PATJ,10207,,,,,,,,,,,,,,,,,,,,,
ZNF200,7752,,,,,,,,,,,,,,,,,,,,,
ALMS1,7840,,,,,,,,,,,,,,,,,,,,,
SNTB1,6641,,,,,,,,,,,,,,,,,,,,,
KTN1,3895,,,,,,,,,,,,,,,,,,,,,
CCNB1,891,,,,,,,,,,,,,,,,,,,,,
GATC,283459,,,,,,,,,,,,,,,,,,,,,
SNX29P2,440352,,,,,,,,,,,,,,,,,,,,,
YLPM1,56252,,,,,,,,,,,,,,,,,,,,,
ZNF394,84124,,,,,,,,,,,,,,,,,,,,,
ZNF160,90338,,,,,,,,,,,,,,,,,,,,,
BMP2K,55589,,,,,,,,,,,,,,,,,,,,,
PKI55,150967,,,,,,,,,,,,,,,,,,,,,
GATAD1,57798,,,,,,,,,,,,,,,,,,,,,
SLC46A3,283537,,,,,,,,,,,,,,,,,,,,,
